Year,China,USA,India,Germany
2000,361886200.5,616967357.2,116329617.5,89323046.12
2001,364678137.7,591074668.7,114523775.1,89361665.27
2002,393979163.4,592426423.1,116995784.1,87015600.22
2003,461385079.9,584192971.7,119202621.1,85205106.32
2004,526562716.8,581537029.8,123018169.9,82782045.64
2005,570031481.3,566420343.2,125161097.8,78476217.93
2006,618126004.1,546033726.7,130496869.1,78077264.08
2007,646079315.2,542780153.1,137692625.9,73564386.85
2008,654610656.3,504070819.8,144856703.5,70511822.38
2009,652156617.8,440949808.8,148213295.1,61025268.72
2010,694986171.6,437630470.7,143454253.8,61503321.53
2011,666246420.5,368169729.3,129424123.4,51484939.44
2012,602362569.1,308776708.8,121008877.2,45495434.12
2013,620135359.6,313762899.1,122868015.7,46568713.12
2014,529204923.9,270140619.4,114549245.3,37753562.19
2015,78467371.7,140918138.8,61995352.21,20647335.39
2016,276183810.2,138017055.3,63306960.73,20747580.46
2017,191300854.7,91534091.27,43881119.85,13911837.85
2018,198933504.8,94566750.43,46532173.93,13457902.35
2019,139638690.9,62630283.06,31673112.4,8556549.098
